Campaign,Ad Group,Keyword,Criterion Type,Status
DEWAX | Gruntowa pompa ciepła,Gruntowa ogólnie,gruntowa pompa ciepła,Exact,Enabled
DEWAX | Regiony,Region: Wielkopolska,gruntowe pompy ciepła wielkopolskie,Phrase,Enabled
DEWAX | Regiony,Region: Wielkopolska,odwierty pod pompy ciepła wielkopolskie,Phrase,Enabled
DEWAX | Regiony,Region: Wielkopolska,pompa ciepła gruntowa wielkopolskie,Phrase,Enabled
DEWAX | Regiony,Region: Wielkopolska,gruntowa pompa ciepła wielkopolska,Phrase,Enabled
DEWAX | Regiony,Region: Wielkopolska,odwierty pod pompę ciepła wielkopolska,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,gruntowa pompa ciepła łódź,Exact,Enabled
DEWAX | Regiony,Region: Łódzkie,odwierty pod pompę ciepła łódź,Exact,Enabled
DEWAX | Regiony,Region: Łódzkie,gruntowa pompa ciepła łódź,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa ciepła gruntowa łódź,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,odwierty pod pompę ciepła łódź,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa gruntowa łódź,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,gruntowa pompa ciepła sieradz,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa ciepła gruntowa sieradz,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,odwierty pod pompę ciepła sieradz,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa gruntowa sieradz,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,gruntowa pompa ciepła wieluń,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa ciepła gruntowa wieluń,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,odwierty pod pompę ciepła wieluń,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa gruntowa wieluń,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,gruntowa pompa ciepła piotrków trybunalski,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa ciepła gruntowa piotrków trybunalski,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,odwierty pod pompę ciepła piotrków trybunalski,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa gruntowa piotrków trybunalski,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,gruntowa pompa ciepła zduńska wola,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa ciepła gruntowa zduńska wola,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,odwierty pod pompę ciepła zduńska wola,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa gruntowa zduńska wola,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,gruntowa pompa ciepła bełchatów,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa ciepła gruntowa bełchatów,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,odwierty pod pompę ciepła bełchatów,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa gruntowa bełchatów,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,gruntowa pompa ciepła pabianice,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa ciepła gruntowa pabianice,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,odwierty pod pompę ciepła pabianice,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa gruntowa pabianice,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,gruntowa pompa ciepła zgierz,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa ciepła gruntowa zgierz,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,odwierty pod pompę ciepła zgierz,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa gruntowa zgierz,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,gruntowe pompy ciepła łódzkie,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,odwierty pod pompy ciepła łódzkie,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,pompa ciepła gruntowa łódzkie,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,gruntowa pompa ciepła łódzkie,Phrase,Enabled
DEWAX | Regiony,Region: Łódzkie,odwierty pod pompę ciepła łódzkie,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,gruntowa pompa ciepła bydgoszcz,Exact,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,odwierty pod pompę ciepła bydgoszcz,Exact,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,gruntowa pompa ciepła bydgoszcz,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,pompa ciepła gruntowa bydgoszcz,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,odwierty pod pompę ciepła bydgoszcz,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,pompa gruntowa bydgoszcz,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,gruntowa pompa ciepła toruń,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,pompa ciepła gruntowa toruń,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,odwierty pod pompę ciepła toruń,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,pompa gruntowa toruń,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,gruntowa pompa ciepła włocławek,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,pompa ciepła gruntowa włocławek,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,odwierty pod pompę ciepła włocławek,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,pompa gruntowa włocławek,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,gruntowa pompa ciepła inowrocław,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,pompa ciepła gruntowa inowrocław,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,odwierty pod pompę ciepła inowrocław,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,pompa gruntowa inowrocław,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,gruntowa pompa ciepła grudziądz,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,pompa ciepła gruntowa grudziądz,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,odwierty pod pompę ciepła grudziądz,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,pompa gruntowa grudziądz,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,gruntowa pompa ciepła brodnica,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,pompa ciepła gruntowa brodnica,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,odwierty pod pompę ciepła brodnica,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,pompa gruntowa brodnica,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,gruntowe pompy ciepła kujawsko-pomorskie,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,odwierty pod pompy ciepła kujawsko-pomorskie,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,pompa ciepła gruntowa kujawsko-pomorskie,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,gruntowa pompa ciepła kujawsko-pomorskie,Phrase,Enabled
DEWAX | Regiony,Region: Kujawsko-Pomorskie,odwierty pod pompę ciepła kujawsko-pomorskie,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,gruntowa pompa ciepła wrocław,Exact,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,odwierty pod pompę ciepła wrocław,Exact,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,gruntowa pompa ciepła wrocław,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa ciepła gruntowa wrocław,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,odwierty pod pompę ciepła wrocław,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa gruntowa wrocław,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,gruntowa pompa ciepła legnica,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa ciepła gruntowa legnica,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,odwierty pod pompę ciepła legnica,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa gruntowa legnica,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,gruntowa pompa ciepła oleśnica,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa ciepła gruntowa oleśnica,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,odwierty pod pompę ciepła oleśnica,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa gruntowa oleśnica,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,gruntowa pompa ciepła świdnica,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa ciepła gruntowa świdnica,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,odwierty pod pompę ciepła świdnica,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa gruntowa świdnica,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,gruntowa pompa ciepła wałbrzych,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa ciepła gruntowa wałbrzych,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,odwierty pod pompę ciepła wałbrzych,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa gruntowa wałbrzych,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,gruntowa pompa ciepła jelenia góra,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa ciepła gruntowa jelenia góra,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,odwierty pod pompę ciepła jelenia góra,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa gruntowa jelenia góra,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,gruntowa pompa ciepła oława,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa ciepła gruntowa oława,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,odwierty pod pompę ciepła oława,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa gruntowa oława,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,gruntowa pompa ciepła trzebnica,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa ciepła gruntowa trzebnica,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,odwierty pod pompę ciepła trzebnica,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa gruntowa trzebnica,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,gruntowe pompy ciepła dolnośląskie,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,odwierty pod pompy ciepła dolnośląskie,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,pompa ciepła gruntowa dolnośląskie,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,gruntowa pompa ciepła dolny śląsk,Phrase,Enabled
DEWAX | Regiony,Region: Dolny Śląsk,odwierty pod pompę ciepła dolny śląsk,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,gruntowa pompa ciepła częstochowa,Exact,Enabled
DEWAX | Regiony,Region: Śląsk,odwierty pod pompę ciepła częstochowa,Exact,Enabled
DEWAX | Regiony,Region: Śląsk,gruntowa pompa ciepła częstochowa,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,pompa ciepła gruntowa częstochowa,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,odwierty pod pompę ciepła częstochowa,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,pompa gruntowa częstochowa,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,gruntowa pompa ciepła katowice,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,pompa ciepła gruntowa katowice,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,odwierty pod pompę ciepła katowice,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,pompa gruntowa katowice,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,gruntowa pompa ciepła gliwice,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,pompa ciepła gruntowa gliwice,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,odwierty pod pompę ciepła gliwice,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,pompa gruntowa gliwice,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,gruntowa pompa ciepła bielsko-biała,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,pompa ciepła gruntowa bielsko-biała,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,odwierty pod pompę ciepła bielsko-biała,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,pompa gruntowa bielsko-biała,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,gruntowa pompa ciepła rybnik,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,pompa ciepła gruntowa rybnik,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,odwierty pod pompę ciepła rybnik,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,pompa gruntowa rybnik,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,gruntowa pompa ciepła tychy,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,pompa ciepła gruntowa tychy,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,odwierty pod pompę ciepła tychy,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,pompa gruntowa tychy,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,gruntowa pompa ciepła lubliniec,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,pompa ciepła gruntowa lubliniec,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,odwierty pod pompę ciepła lubliniec,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,pompa gruntowa lubliniec,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,gruntowe pompy ciepła śląskie,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,odwierty pod pompy ciepła śląskie,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,pompa ciepła gruntowa śląskie,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,gruntowa pompa ciepła śląsk,Phrase,Enabled
DEWAX | Regiony,Region: Śląsk,odwierty pod pompę ciepła śląsk,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,gruntowa pompa ciepła warszawa,Exact,Enabled
DEWAX | Regiony,Region: Mazowsze,odwierty pod pompę ciepła warszawa,Exact,Enabled
DEWAX | Regiony,Region: Mazowsze,gruntowa pompa ciepła warszawa,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa ciepła gruntowa warszawa,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,odwierty pod pompę ciepła warszawa,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa gruntowa warszawa,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,gruntowa pompa ciepła płock,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa ciepła gruntowa płock,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,odwierty pod pompę ciepła płock,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa gruntowa płock,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,gruntowa pompa ciepła radom,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa ciepła gruntowa radom,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,odwierty pod pompę ciepła radom,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa gruntowa radom,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,gruntowa pompa ciepła siedlce,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa ciepła gruntowa siedlce,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,odwierty pod pompę ciepła siedlce,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa gruntowa siedlce,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,gruntowa pompa ciepła ostrołęka,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa ciepła gruntowa ostrołęka,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,odwierty pod pompę ciepła ostrołęka,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa gruntowa ostrołęka,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,gruntowa pompa ciepła pruszków,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa ciepła gruntowa pruszków,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,odwierty pod pompę ciepła pruszków,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa gruntowa pruszków,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,gruntowa pompa ciepła grodzisk mazowiecki,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa ciepła gruntowa grodzisk mazowiecki,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,odwierty pod pompę ciepła grodzisk mazowiecki,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa gruntowa grodzisk mazowiecki,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,gruntowa pompa ciepła piaseczno,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa ciepła gruntowa piaseczno,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,odwierty pod pompę ciepła piaseczno,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa gruntowa piaseczno,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,gruntowe pompy ciepła mazowieckie,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,odwierty pod pompy ciepła mazowieckie,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,pompa ciepła gruntowa mazowieckie,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,gruntowa pompa ciepła mazowsze,Phrase,Enabled
DEWAX | Regiony,Region: Mazowsze,odwierty pod pompę ciepła mazowsze,Phrase,Enabled
